well_names,OD,GFP,sample_names,replication,drugname,concentration
B11,0.895257351578275,7947,1,1,phenol,0
C11,0.870287501528474,8227,1,1,phenol,0.05
D11,0.874959945801179,15117,1,1,phenol,0.5
E11,0.924738177324364,69073,1,1,phenol,5
F11,0.856911551894714,83805,1,1,phenol,50
G11,0.853849429438168,71393,1,1,phenol,500
B09,0.70880190860983,31417,2,1,phenol,0
B09,0.70880190860983,31417,2,1,phenol,0
B10,0.876921732245556,7100,2,1,phenol,0
B10,0.876921732245556,7100,2,1,phenol,0
C09,0.63461884564797,31886,2,1,phenol,0.05
C10,0.860683253207243,6410,2,1,phenol,0.1
D09,0.641764071143866,76001,2,1,phenol,0.5
D10,0.852308446797287,6780,2,1,phenol,1
E10,0.802187533265415,7370,2,1,phenol,10
F10,0.851278839637129,7885,2,1,phenol,100
G10,0.827224348463875,7630,2,1,phenol,1000
E09,0.635973929987241,126148,2,1,phenol,5
F09,0.643314486282078,143991,2,1,phenol,50
G09,0.641144468759243,146501,2,1,phenol,500
B07,0.919110092315938,4088,3,1,phenol,0
B07,0.919110092315938,4088,3,1,phenol,0
B08,0.934867772886534,95802,3,1,phenol,0
B08,0.934867772886534,95802,3,1,phenol,0
C07,0.897379704678216,3800,3,1,phenol,0.05
C08,0.866559806972363,89744,3,1,phenol,0.1
D07,0.901110022661149,4096,3,1,phenol,0.5
D08,0.874047469343713,125130,3,1,phenol,1
E08,0.838103710515796,226046,3,1,phenol,10
F08,0.858846033644982,272202,3,1,phenol,100
G08,0.877484479030969,290717,3,1,phenol,1000
E07,0.929904792627078,20565,3,1,phenol,5
F07,0.941926379654787,113583,3,1,phenol,50
G07,0.932468083530784,140173,3,1,phenol,500
B05,0.894578621696442,7152,4,1,phenol,0
B05,0.894578621696442,7152,4,1,phenol,0
B06,0.962466662104835,8285,4,1,phenol,0
B06,0.962466662104835,8285,4,1,phenol,0
C05,0.883504304755491,6952,4,1,phenol,0.05
C06,0.976830523712372,9096,4,1,phenol,0.1
D05,0.866171878203291,7328,4,1,phenol,0.5
D06,0.886792291860919,29236,4,1,phenol,1
E06,0.871250530191498,77176,4,1,phenol,10
F06,0.871238009629264,81057,4,1,phenol,100
G06,0.866530906715456,68592,4,1,phenol,1000
E05,0.844920118443092,7753,4,1,phenol,5
F05,0.861127465062324,7783,4,1,phenol,50
G05,0.815299033135305,7638,4,1,phenol,500
B03,0.879347159295534,94601,5,1,phenol,0
B03,0.879347159295534,94601,5,1,phenol,0
B04,0.658363301008857,29836,5,1,phenol,0
B04,0.658363301008857,29836,5,1,phenol,0
C03,0.854202423088291,95085,5,1,phenol,0.05
C04,0.651558188946301,41622,5,1,phenol,0.1
D03,0.865656551664103,173203,5,1,phenol,0.5
D04,0.638218250271029,102397,5,1,phenol,1
E04,0.642633495340543,133085,5,1,phenol,10
F04,0.646937192385419,146184,5,1,phenol,100
G04,0.63947692342855,159924,5,1,phenol,1000
E03,0.85067737053216,249122,5,1,phenol,5
F03,0.865067767026244,279954,5,1,phenol,50
G03,0.876304818564819,332846,5,1,phenol,500
B02,0.924162646594236,3882,6,1,phenol,0
C02,0.914525818631273,3928,6,1,phenol,0.1
D02,0.89943676547129,4280,6,1,phenol,1
E02,0.922835233229819,44070,6,1,phenol,10
F02,0.936863129808899,127999,6,1,phenol,100
G02,0.904282312957357,124002,6,1,phenol,1000
B11,0.806238884729904,7857,1,2,phenol,0
C11,0.833259729890884,7999,1,2,phenol,0.05
D11,0.820274301336731,17387,1,2,phenol,0.5
E11,0.812109154331243,64928,1,2,phenol,5
F11,0.815006906672966,75917,1,2,phenol,50
G11,0.839875928241789,74883,1,2,phenol,500
B09,0.646889750062076,34475,2,2,phenol,0
B09,0.646889750062076,34475,2,2,phenol,0
B10,0.84599539778426,7248,2,2,phenol,0
B10,0.84599539778426,7248,2,2,phenol,0
C09,0.632387390670409,54383,2,2,phenol,0.05
C10,0.822166606701748,6456,2,2,phenol,0.1
D09,0.639773910958928,107692,2,2,phenol,0.5
D10,0.825471984896634,6964,2,2,phenol,1
E10,0.818026838883732,7444,2,2,phenol,10
F10,0.81559024387538,7827,2,2,phenol,100
G10,0.826840148780262,8167,2,2,phenol,1000
E09,0.642456866894604,155097,2,2,phenol,5
F09,0.649470309576257,171111,2,2,phenol,50
G09,0.664235017998743,183539,2,2,phenol,500
B07,0.884598957700774,3958,3,2,phenol,0
B07,0.884598957700774,3958,3,2,phenol,0
B08,0.933364750089074,112003,3,2,phenol,0
B08,0.933364750089074,112003,3,2,phenol,0
C07,0.886643708847433,4060,3,2,phenol,0.05
C08,0.886811316277131,104339,3,2,phenol,0.1
D07,0.888927003053323,7480,3,2,phenol,0.5
D08,0.913669287150288,174110,3,2,phenol,1
E08,0.90753963577831,279551,3,2,phenol,10
F08,0.927533101111225,316112,3,2,phenol,100
G08,0.934764170723189,326934,3,2,phenol,1000
E07,0.917034059690307,49801,3,2,phenol,5
F07,0.91806291522495,121054,3,2,phenol,50
G07,0.927608643724375,137306,3,2,phenol,500
B05,0.833331932115815,7086,4,2,phenol,0
